Country,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
G20,Percentage,,,,,,,,,,
Australia,Percentage,4.7,2.3,2.7,3.4,4.6,4.5,5.1,5.2,2.7,-0.8
Canada,Percentage,3.3,2.7,4,2.9,4,3.1,2.8,4.4,2.5,1.9
France,Percentage,5.2,1.8,3,1.8,3.1,3.2,2.6,2.1,1,-2.9
Germany,Percentage,3.9,2,1.1,0.8,2.8,1.7,2.4,2.4,0.3,-2.9
Italy,Percentage,2.9,1.7,-0.2,-0.7,1.2,0.7,3.8,3,1,-5.7
Japan,Percentage,3.8,2,0.3,0.1,1.4,0.8,1.8,1.5,-1,-5.3
Korea,Percentage,2.8,0.4,0.1,1.5,2.2,1.7,1.4,1.7,-1.1,-5.4
Mexico,Percentage,9.1,4.9,7.7,3.1,5.2,4.3,5.3,5.8,3,0.8
Turkey,Percentage,4.9,-0.4,0,1.4,3.9,2.3,4.5,2.3,1.1,-5.3
United Kingdom,Percentage,6.9,-5.8,6.4,5.8,9.8,9,6.9,5,0.8,-4.8
United States,Percentage,3.5,2.7,2.2,3.3,2.3,3,2.7,2.4,-0.3,-4.1
Argentina,Percentage,4.1,1,1.7,2.9,3.8,3.5,2.9,1.9,-0.1,-2.5
Brazil,Percentage,-0.8,-4.4,-10.9,8.8,9,8.9,8,9,4.1,-5.9
China (People's Republic of),Percentage,4.4,1.4,3.1,1.1,5.8,3.2,4,6.1,5.1,-0.1
India,Percentage,8.5,8.3,9.1,10,10.1,11.4,12.7,14.2,9.7,9.4
Indonesia,Percentage,5.7,3.9,4.6,6.9,7.9,9.2,9.4,10.1,6.2,5
Russia,Percentage,4.9,3.6,4.5,4.8,5,5.7,5.5,6.3,6,4.7
Saudi Arabia,Percentage,,,,,7.2,6.4,8.2,8.5,5.2,-7.8
South Africa,Percentage,,,,,,,,,,
European Union – 27 countries (from 01/02/2020),Percentage,4.2,2.7,3.7,2.9,4.6,5.3,5.6,5.4,3.2,-1.5
Euro area (19 countries),Percentage,3.9,2.1,1.1,0.9,2.5,1.9,3.5,3.1,0.6,-4.3
,,3.8,2.2,0.9,0.6,2.3,1.7,3.2,3,0.4,-4.5
